categoria,subcategoria,nombre,marca,tipo,formato,precio,precio_normal,precio_oferta,precio_referencia,promocion,supermercado,url,imagen_url,producto_base
"Lacteos, Huevos y Congelados",Leche,Postre Leche Asada Pote 120 g Nestlé,Nestlé,general,120 g,630,630,,,,Líder,https://super.lider.cl/ip/postres-refrigerados/postre-leche-asada-pote/00761303888376?channable=06660b69640030303736313330333838383337365d,https://i5.walmartimages.cl/asr/b5c4dd00-aead-4466-a060-2e3e22cdbd61.d80a8dcf36b7423ec9a32f8b9037c1c5.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Postre Leche Asada Pote 120 g Soprole,Soprole,general,120 g,640,640,,,,Líder,https://super.lider.cl/ip/postres-refrigerados/postre-leche-asada-pote/00780290020201?channable=06660b69640030303738303239303032303230312f,https://i5.walmartimages.cl/asr/a6b58a25-97dd-4c2b-94e1-d9b598c6883e.7806b84a16696ea7b39c969fe66a9f8e.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Flan Tres Leches Postre 100 g Colun,Colun,general,100 g,330,330,,,,Líder,https://super.lider.cl/ip/postres-refrigerados/flan-tres-leches-postre/00000007801778?channable=06660b6964003030303030303037383031373738c4,https://i5.walmartimages.cl/asr/6a78e78d-d02f-4d3e-96e9-18b1518937dc.df40b7297ade94671b516a8963dc5ced.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Proteína Capuccino 200 ml Soprole,Soprole,proteína,200 mL,610,610,,,,Líder,https://super.lider.cl/ip/leches-colacion/leche-proteina-capuccino/00780290000461?channable=06660b696400303037383032393030303034363153,https://i5.walmartimages.cl/asr/58e73c51-81b7-4f9a-a272-dd9a4b1f3ded.87e7835a4f255edd082965f901c51865.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Cappuccino 330 ml Colun,Colun,sin lactosa,330 mL,950,950,,,,Líder,https://super.lider.cl/ip/leches-colacion/leche-sin-lactosa-cappuccino/00780292000814?channable=06660b6964003030373830323932303030383134fc,https://i5.walmartimages.cl/asr/5ed404ef-6732-4a71-9e8d-d455d69900bb.5888e5e48afec3a8ed934bdefd040004.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Proteína Sabor Vainilla 200 ml Soprole,Soprole,proteína,200 mL,610,610,,,,Líder,https://super.lider.cl/ip/leches-colacion/leche-proteina-sabor-vainilla/00780290000380?channable=06660b696400303037383032393030303033383012,https://i5.walmartimages.cl/asr/fdf15b64-485f-4b84-ab8f-379cbb60675a.262705e57b84f80b5045b3932cb7a44f.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Protein Sabor Berries Botella 900 g Lonco Leche,Lonco Leche,general,900 g,3190,3190,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-protein-sabor-berries-botella/00780291000819?channable=06660b6964003030373830323931303030383139d5,https://i5.walmartimages.cl/asr/c54f7cde-13f1-4a3f-a878-4e17601ea7c1.83095a1a2338455c4b5714debf411a2d.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Natural Entera Lonco Leche 1 L Loncoleche,Loncoleche,entera,1 L,1150,1150,,,,Líder,https://super.lider.cl/ip/leche/leche-natural-entera-lonco-leche/00780291000725?channable=06660b696400303037383032393130303037323511,https://i5.walmartimages.cl/asr/f85da804-e53e-4cee-946e-f0f8cecc8682.fab27f2d781f689baf552c94bbf31492.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Natural Descremada Lonco Leche 1 L Loncoleche,Loncoleche,descremada,1 L,1150,1150,,,,Líder,https://super.lider.cl/ip/leche/leche-natural-descremada-lonco-leche/00780291000727?channable=06660b696400303037383032393130303037323713,https://i5.walmartimages.cl/asr/80cf9f7f-9e64-44f9-97d6-809c5f2d0869.85240952e82cfb52c1b30dfa88c906c1.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Soprole Sin Lactosa Frutilla,Soprole,sin lactosa,,1950,1950,,,,Líder,https://super.lider.cl/ip/leche/leche-soprole-sin-lactosa-frutilla/00780290000442?channable=06660b696400303037383032393030303034343253,https://i5.walmartimages.cl/asr/638081a4-5f20-46a8-95b6-2e9d8688ce66.886f34a8288180528be80395495ef62e.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Sucedáneo Leche Condensada Tarro 397 G 397 g Leche Sur,Sin marca,general,397 G,1750,1750,,,,Líder,https://super.lider.cl/ip/reposteria/sucedaneo-leche-condensada-tarro-397-g/00844529079473?channable=06660b6964003030383434353239303739343733e9,https://i5.walmartimages.cl/asr/0efa78ed-c9f0-4305-a292-c8b0710e50c2.de975926056bc83418102ce5b5c2f386.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Frutilla Caja 1 L Loncoleche,Loncoleche,sin lactosa,1 L,2190,2190,,,,Líder,https://super.lider.cl/ip/leche/leche-sin-lactosa-frutilla-caja/00780291000098?channable=06660b6964003030373830323931303030303938d6,https://i5.walmartimages.cl/asr/a93c03fc-47ab-4574-8067-7383e70b6936.c87cb09618e12a95837ad8fc4a0c53bd.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Semidescremada Sin Lactosa 1 L Loncoleche,Loncoleche,sin lactosa,1 L,1350,1350,,,,Líder,https://super.lider.cl/ip/leche/leche-semidescremada-sin-lactosa/00780291000022?channable=06660b69640030303738303239313030303032324d,https://i5.walmartimages.cl/asr/31fc2dc6-7ec5-47a2-a90c-a1edde738b0f.9ad6232838dc31be57c5add7955ed10a.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Descremada Sin Lactosa Caja 1 L Colun,Colun,sin lactosa,1 L,1390,1390,,,,Líder,https://super.lider.cl/ip/leche/leche-descremada-sin-lactosa-caja/00780292000740?channable=06660b6964003030373830323932303030373430b9,https://i5.walmartimages.cl/asr/71dd0d88-2ad9-4337-8daf-cc7bd4340c7c.b886d3083682f3c8563ac40e747f99cc.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Descremada Sin Lactosa 200 ml Colun,Colun,sin lactosa,200 mL,640,640,,,,Líder,https://super.lider.cl/ip/leche/leche-descremada-sin-lactosa/00780292000963?channable=06660b69640030303738303239323030303936333e,https://i5.walmartimages.cl/asr/6e618a43-72c6-4855-bb6b-8056e16575a4.2e8ba1de986f4d6d2810aea7f02ea443.jpeg?null,
"Lacteos, Huevos y Congelados",Leche,Leche Sin Lactosa Proteinas 1 L Surlat,Surlat,sin lactosa,1 L,2350,2350,,,,Líder,https://super.lider.cl/ip/leche/leche-sin-lactosa-proteinas/00780870950396?channable=06660b69640030303738303837303935303339367c,https://i5.walmartimages.cl/asr/cfe12d65-0904-4feb-9613-7a195223b793.22bdbc227612f4a636ac737ea00aabfb.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Frutilla 510 ml Soprole,Soprole,general,510 mL,1490,1490,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-frutilla/00780290000484?channable=06660b696400303037383032393030303034383457,https://i5.walmartimages.cl/asr/98bad066-50dd-47f6-b428-c111c57b252a.9955f1e8b9e4adaae6901f08af624043.jpeg,
"Lacteos, Huevos y Congelados",Leche,Leche Cultivada Tradicional 510 ml Soprole,Soprole,general,510 mL,1490,1490,,,,Líder,https://super.lider.cl/ip/leche/leche-cultivada-tradicional/00780290000485?channable=06660b696400303037383032393030303034383558,https://i5.walmartimages.cl/asr/ce887096-8893-409e-b5d8-b64c737d327e.f9728a2d9365437f9943657053aef21f.jpeg,
